Project Name,Description,Skills Required,Difficulty Level,Category,Resources,Student_ID,Branch,Interest_Area,Preferred_Domain,CGPA
Weather App,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, API, Flask",Intermediate,Data Structures,https://kaggle.com/,STU00606,ECE,Web Development,AI/ML,7.84
Movie Recommendation System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, Tkinter, Algorithms",Intermediate,System Design,https://www.tensorflow.org/,STU00607,ME,Game Development,Game Development,6.83
Tic-Tac-Toe Game,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","C++, Data Structures",Beginner,AI/ML,https://kaggle.com/,STU00608,EEE,Game Development,Web Development,7.46
Weather App,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Beginner,Software Development,https://www.tensorflow.org/,STU00609,EEE,IoT,Data Structures,8.01
Library Management System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","C++, Algorithms",Advanced,Game Development,https://www.geeksforgeeks.org/,STU00610,EEE,Game Development,AI/ML,8.76
Personal Portfolio Website,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, API, Flask",Beginner,Software Development,https://openweathermap.org/,STU00611,IT,Web Development,Data Structures,6.16
Tic-Tac-Toe Game,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, NLP, NLTK",Advanced,System Design,https://openweathermap.org/,STU00612,EEE,Game Development,Data Structures,9.2
E-commerce App,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","C++, Data Structures",Advanced,Data Structures,https://www.tensorflow.org/,STU00613,CSE,AI/ML,Web Development,8.51
Image Classifier,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, NLP, NLTK",Intermediate,Data Structures,https://freecodecamp.org/,STU00614,CSE,Game Development,Game Development,6.33
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Java, MySQL",Advanced,Data Structures,https://www.geeksforgeeks.org/,STU00615,IT,Data Science,Web Development,9.49
Banking System Simulation,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, NLP, NLTK",Advanced,Machine Learning,https://www.geeksforgeeks.org/,STU00616,CE,AI/ML,System Design,9.68
Movie Recommendation System,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Intermediate,Machine Learning,https://www.geeksforgeeks.org/,STU00617,ECE,IoT,AI/ML,6.24
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Intermediate,Web Development,https://docs.djangoproject.com/,STU00618,ME,Data Science,Data Structures,7.11
Library Management System,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Django, Python, SQLite",Beginner,Software Development,https://nltk.org/,STU00619,ME,Web Development,Web Development,9.22
Personal Portfolio Website,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, pandas, sklearn",Beginner,Data Structures,https://www.tensorflow.org/,STU00620,IT,Web Development,Web Development,8.99
Tic-Tac-Toe Game,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, TensorFlow, Keras",Intermediate,Software Development,https://www.tensorflow.org/,STU00621,CSE,Web Development,Web Development,6.74
Image Classifier,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Advanced,Machine Learning,https://www.tensorflow.org/,STU00622,ME,Data Science,AI/ML,6.84
Weather App,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Beginner,Game Development,https://openweathermap.org/,STU00623,CSE,Data Science,Game Development,7.48
Movie Recommendation System,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Intermediate,Deep Learning,https://docs.djangoproject.com/,STU00624,CE,Data Science,Web Development,7.94
Sorting Visualizer,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, TensorFlow, Keras",Advanced,System Design,https://kaggle.com/,STU00625,ECE,AI/ML,AI/ML,8.47
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Intermediate,Data Structures,https://freecodecamp.org/,STU00626,CE,Blockchain,Data Structures,7.48
Banking System Simulation,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, NLP, NLTK",Beginner,AI/ML,https://openweathermap.org/,STU00627,IT,AI/ML,System Design,7.85
Image Classifier,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Data Structures",Beginner,Game Development,https://openweathermap.org/,STU00628,EEE,Web Development,Deep Learning,8.99
Library Management System,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Intermediate,AI/ML,https://openweathermap.org/,STU00629,EEE,Blockchain,AI/ML,6.15
Chatbot,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","C++, Data Structures",Beginner,System Design,https://openweathermap.org/,STU00630,EEE,Game Development,Deep Learning,7.01
E-commerce App,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, TensorFlow, Keras",Intermediate,Machine Learning,https://www.geeksforgeeks.org/,STU00631,CE,Web Development,Web Development,8.85
Chatbot,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Advanced,AI/ML,https://www.geeksforgeeks.org/,STU00632,ME,IoT,Web Development,9.58
Image Classifier,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, pandas, sklearn",Beginner,Software Development,https://openweathermap.org/,STU00633,ECE,AI/ML,AI/ML,8.05
Chatbot,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Beginner,Data Structures,https://nltk.org/,STU00634,EEE,Data Science,Deep Learning,8.13
Banking System Simulation,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, API, Flask",Intermediate,Software Development,https://nltk.org/,STU00635,IT,AI/ML,Web Development,6.43
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Advanced,Machine Learning,https://nltk.org/,STU00636,IT,Data Science,Data Structures,7.79
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Advanced,Data Structures,https://docs.djangoproject.com/,STU00637,EEE,Blockchain,Game Development,8.13
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Beginner,Software Development,https://nltk.org/,STU00638,EEE,IoT,Game Development,6.97
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Django, Python, SQLite",Beginner,System Design,https://freecodecamp.org/,STU00639,ECE,Blockchain,Web Development,7.08
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Advanced,Software Development,https://openweathermap.org/,STU00640,EEE,IoT,Deep Learning,7.51
Weather App,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","HTML, CSS, JavaScript",Intermediate,Data Structures,https://kaggle.com/,STU00641,ECE,AI/ML,System Design,6.08
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Advanced,AI/ML,https://docs.djangoproject.com/,STU00642,IT,Data Science,Web Development,7.29
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"Java, MySQL",Intermediate,Deep Learning,https://openweathermap.org/,STU00643,EEE,Blockchain,System Design,6.85
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Advanced,Machine Learning,https://www.tensorflow.org/,STU00644,CE,IoT,System Design,7.31
Chatbot,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, API, Flask",Advanced,Data Structures,https://kaggle.com/,STU00645,CE,Web Development,Deep Learning,6.48
Banking System Simulation,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","HTML, CSS, JavaScript",Beginner,Game Development,https://freecodecamp.org/,STU00646,IT,Web Development,System Design,9.56
Movie Recommendation System,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Beginner,Data Structures,https://docs.djangoproject.com/,STU00647,ECE,Blockchain,Data Structures,8.37
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Advanced,Machine Learning,https://www.geeksforgeeks.org/,STU00648,CE,Data Science,Deep Learning,8.72
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Advanced,Data Structures,https://www.geeksforgeeks.org/,STU00649,ECE,Blockchain,Web Development,9.16
Image Classifier,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, TensorFlow, Keras",Advanced,Game Development,https://www.geeksforgeeks.org/,STU00650,CE,AI/ML,Data Structures,7.99
Image Classifier,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Advanced,Machine Learning,https://freecodecamp.org/,STU00651,CE,IoT,AI/ML,6.35
Tic-Tac-Toe Game,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, TensorFlow, Keras",Beginner,System Design,https://freecodecamp.org/,STU00652,ECE,AI/ML,Game Development,8.15
Tic-Tac-Toe Game,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Java, MySQL",Beginner,System Design,https://freecodecamp.org/,STU00653,ME,Web Development,Web Development,8.35
Weather App,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Advanced,AI/ML,https://openweathermap.org/,STU00654,CE,IoT,Web Development,8.98
Weather App,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Beginner,Game Development,https://openweathermap.org/,STU00655,EEE,Blockchain,Web Development,7.73
Tic-Tac-Toe Game,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Django, Python, SQLite",Beginner,Deep Learning,https://www.geeksforgeeks.org/,STU00656,IT,AI/ML,Data Structures,6.51
E-commerce App,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, NLP, NLTK",Advanced,System Design,https://kaggle.com/,STU00657,ME,Game Development,AI/ML,7.14
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Intermediate,Data Structures,https://openweathermap.org/,STU00658,ECE,Data Science,Deep Learning,7.45
Weather App,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Beginner,Software Development,https://www.geeksforgeeks.org/,STU00659,ME,Data Science,AI/ML,8.58
Library Management System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Django, Python, SQLite",Beginner,Deep Learning,https://www.tensorflow.org/,STU00660,CSE,Game Development,Data Structures,8.28
Chatbot,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Data Structures",Intermediate,Deep Learning,https://kaggle.com/,STU00661,CSE,Web Development,Web Development,7.42
Weather App,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Advanced,Game Development,https://www.tensorflow.org/,STU00662,CE,IoT,Game Development,9.95
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Beginner,Data Structures,https://www.geeksforgeeks.org/,STU00663,CE,Data Science,Web Development,8.42
Movie Recommendation System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","HTML, CSS, JavaScript",Intermediate,Machine Learning,https://docs.djangoproject.com/,STU00664,EEE,Game Development,Deep Learning,6.95
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Beginner,Deep Learning,https://freecodecamp.org/,STU00665,IT,Blockchain,System Design,6.41
Weather App,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Java, MySQL",Advanced,Data Structures,https://freecodecamp.org/,STU00666,ME,Game Development,Game Development,6.61
Banking System Simulation,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, Tkinter, Algorithms",Advanced,Game Development,https://kaggle.com/,STU00667,CSE,Web Development,Web Development,6.98
Movie Recommendation System,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, pandas, sklearn",Beginner,Deep Learning,https://kaggle.com/,STU00668,CE,Web Development,Game Development,6.64
Chatbot,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Django, Python, SQLite",Intermediate,Software Development,https://freecodecamp.org/,STU00669,IT,AI/ML,System Design,6.75
Library Management System,Work on a project related to the assigned area with detailed objectives.,"C++, Algorithms",Advanced,Game Development,https://www.tensorflow.org/,STU00670,ME,Data Science,AI/ML,7.14
Tic-Tac-Toe Game,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","HTML, CSS, JavaScript",Beginner,Deep Learning,https://kaggle.com/,STU00671,CE,AI/ML,Data Structures,6.69
Weather App,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","HTML, CSS, JavaScript",Intermediate,Game Development,https://freecodecamp.org/,STU00672,CE,Game Development,Web Development,9.59
Weather App,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Intermediate,Web Development,https://openweathermap.org/,STU00673,CSE,IoT,Deep Learning,6.32
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Beginner,Data Structures,https://freecodecamp.org/,STU00674,CSE,IoT,AI/ML,8.1
Personal Portfolio Website,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Data Structures",Advanced,AI/ML,https://freecodecamp.org/,STU00675,CE,Web Development,Web Development,7.64
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Beginner,AI/ML,https://freecodecamp.org/,STU00676,ECE,IoT,AI/ML,9.93
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Advanced,AI/ML,https://docs.djangoproject.com/,STU00677,CE,IoT,Deep Learning,6.45
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Intermediate,Web Development,https://www.tensorflow.org/,STU00678,IT,IoT,Web Development,7.59
Sorting Visualizer,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, NLP, NLTK",Intermediate,AI/ML,https://freecodecamp.org/,STU00679,CE,Game Development,System Design,9.88
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Advanced,Machine Learning,https://nltk.org/,STU00680,EEE,IoT,System Design,9.46
Personal Portfolio Website,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Intermediate,System Design,https://docs.djangoproject.com/,STU00681,EEE,Blockchain,Deep Learning,9.27
Image Classifier,Work on a project related to the assigned area with detailed objectives.,"C++, Algorithms",Beginner,Machine Learning,https://docs.djangoproject.com/,STU00682,EEE,IoT,Game Development,7.03
Image Classifier,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Advanced,Game Development,https://kaggle.com/,STU00683,ECE,IoT,Deep Learning,6.68
Chatbot,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","C++, Data Structures",Advanced,Web Development,https://www.tensorflow.org/,STU00684,ECE,AI/ML,Game Development,8.67
Personal Portfolio Website,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","C++, Algorithms",Advanced,Deep Learning,https://www.geeksforgeeks.org/,STU00685,CE,Game Development,Web Development,9.72
E-commerce App,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","HTML, CSS, JavaScript",Advanced,Deep Learning,https://www.tensorflow.org/,STU00686,EEE,Web Development,Game Development,8.23
Chatbot,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, NLP, NLTK",Advanced,Software Development,https://www.tensorflow.org/,STU00687,ECE,AI/ML,Web Development,8.29
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Beginner,Deep Learning,https://www.geeksforgeeks.org/,STU00688,CSE,Data Science,Web Development,7.12
Tic-Tac-Toe Game,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","C++, Algorithms",Beginner,Deep Learning,https://docs.djangoproject.com/,STU00689,CE,Game Development,Data Structures,9.08
Movie Recommendation System,Work on a project related to the assigned area with detailed objectives.,"C++, Data Structures",Intermediate,Data Structures,https://www.geeksforgeeks.org/,STU00690,IT,Blockchain,Web Development,6.75
Library Management System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","HTML, CSS, JavaScript",Beginner,Game Development,https://www.tensorflow.org/,STU00691,ME,Game Development,Game Development,7.29
Library Management System,Work on a project related to the assigned area with detailed objectives.,"Python, NLP, NLTK",Intermediate,AI/ML,https://kaggle.com/,STU00692,CE,Data Science,Data Structures,7.7
Weather App,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Intermediate,Data Structures,https://docs.djangoproject.com/,STU00693,ME,Data Science,Data Structures,8.03
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Beginner,Data Structures,https://www.tensorflow.org/,STU00694,EEE,Data Science,Web Development,6.97
Tic-Tac-Toe Game,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, pandas, sklearn",Advanced,Deep Learning,https://docs.djangoproject.com/,STU00695,ME,Web Development,Deep Learning,6.46
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Beginner,Software Development,https://docs.djangoproject.com/,STU00696,EEE,IoT,Deep Learning,8.44
Library Management System,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, Tkinter, Algorithms",Intermediate,System Design,https://freecodecamp.org/,STU00697,CSE,Game Development,System Design,7.15
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Advanced,Deep Learning,https://www.tensorflow.org/,STU00698,ME,IoT,Data Structures,8.32
Image Classifier,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Beginner,Game Development,https://www.tensorflow.org/,STU00699,CE,IoT,Web Development,6.62
Chatbot,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Advanced,Game Development,https://openweathermap.org/,STU00700,EEE,Blockchain,Deep Learning,7.92
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Advanced,Data Structures,https://www.geeksforgeeks.org/,STU00701,CE,Data Science,Web Development,8.13
E-commerce App,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","HTML, CSS, JavaScript",Beginner,Data Structures,https://freecodecamp.org/,STU00702,ECE,Web Development,Web Development,6.21
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"C++, Algorithms",Beginner,Web Development,https://www.tensorflow.org/,STU00703,EEE,Blockchain,Data Structures,7.35
Tic-Tac-Toe Game,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","C++, Algorithms",Beginner,Deep Learning,https://www.tensorflow.org/,STU00704,ME,AI/ML,System Design,6.54
Library Management System,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Algorithms",Intermediate,Software Development,https://nltk.org/,STU00705,EEE,Web Development,Data Structures,6.25
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Django, Python, SQLite",Intermediate,Deep Learning,https://freecodecamp.org/,STU00706,CE,IoT,AI/ML,9.96
Image Classifier,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, Tkinter, Algorithms",Beginner,Data Structures,https://openweathermap.org/,STU00707,CSE,Web Development,Deep Learning,7.29
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Python, Tkinter, Algorithms",Intermediate,AI/ML,https://openweathermap.org/,STU00708,EEE,Data Science,Deep Learning,9.24
Banking System Simulation,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, TensorFlow, Keras",Intermediate,Machine Learning,https://www.tensorflow.org/,STU00709,ME,AI/ML,Deep Learning,7.02
Sorting Visualizer,Work on a project related to the assigned area with detailed objectives.,"Python, API, Flask",Beginner,Deep Learning,https://freecodecamp.org/,STU00710,ECE,Data Science,Game Development,8.73
Library Management System,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, pandas, sklearn",Beginner,Game Development,https://www.tensorflow.org/,STU00711,IT,AI/ML,Web Development,9.04
Movie Recommendation System,Work on a project related to the assigned area with detailed objectives.,"Django, Python, SQLite",Advanced,Web Development,https://docs.djangoproject.com/,STU00712,CSE,Blockchain,Data Structures,8.38
Image Classifier,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Advanced,Machine Learning,https://openweathermap.org/,STU00713,ECE,IoT,Deep Learning,7.89
Chatbot,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Java, MySQL",Intermediate,System Design,https://freecodecamp.org/,STU00714,EEE,AI/ML,AI/ML,7.65
Sorting Visualizer,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","HTML, CSS, JavaScript",Advanced,Web Development,https://www.geeksforgeeks.org/,STU00715,CE,AI/ML,Deep Learning,7.4
E-commerce App,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","HTML, CSS, JavaScript",Beginner,Deep Learning,https://www.geeksforgeeks.org/,STU00716,CE,AI/ML,System Design,9.72
E-commerce App,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, Tkinter, Algorithms",Beginner,Game Development,https://www.tensorflow.org/,STU00717,ME,Web Development,Web Development,9.32
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"Python, TensorFlow, Keras",Intermediate,Deep Learning,https://docs.djangoproject.com/,STU00718,CE,Blockchain,Web Development,9.86
Chatbot,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","C++, Algorithms",Advanced,Web Development,https://kaggle.com/,STU00719,CSE,Web Development,Data Structures,6.5
Movie Recommendation System,Work on a project related to the assigned area with detailed objectives.,"Java, MySQL",Intermediate,Web Development,https://kaggle.com/,STU00720,CE,IoT,Game Development,8.92
Tic-Tac-Toe Game,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, TensorFlow, Keras",Intermediate,Game Development,https://docs.djangoproject.com/,STU00721,ME,AI/ML,Data Structures,9.75
